7E7525F3CE87;192.168.10.110
D57074ADAEAD;192.168.10.111
0BF710236F65;192.168.10.112
A4D2772BA14A;192.168.10.113
12DD18C03A28;192.168.10.133
C78015C35A99;192.168.10.134
1E0969A4353A;192.168.10.135
F80B9BEF10A2;192.168.10.136
75306C69BE83;192.168.10.137
A7CEF5F107E6;192.168.10.138
73B97278BEA1;192.168.10.195
7B6930126E94;192.168.10.196
DAF5C003305D;192.168.10.197
36E2339D9864;192.168.10.198
884621A05BFB;192.168.10.118
CAC6EBAD7B89;192.168.10.119
B18D80783F3B;192.168.10.120
0ADAF68375DD;192.168.10.121
E317202D9043;192.168.10.148
04DEA6FD1F99;192.168.10.149
3C46D1969A9F;192.168.10.150
479F43043AD3;192.168.10.169
